"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"153","Arizona State","Oklahoma State",42,-11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,145,53,2,-12
"154","Oklahoma State","Arizona State",-42,11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,-170,53,2,12
"155","Troy","Kansas State",46,43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,550,50,2,-29
"156","Kansas State","Troy",-46,-43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-850,50,2,29
"157","Utah","Baylor",-58,-11.2355889724311,1,-3,-254,-2.3,-8,-2,0.038,1,-3,-254,-2.3,-8,-2,0.0385375494071141,-7,-300,51,2,7
"158","Baylor","Utah",58,11.2355889724311,-1,3,254,2.3,8,2,-0.038,-1,3,254,2.3,8,2,-0.0385375494071141,7,250,51,2,-7
"159","SMU","Oklahoma",33,38.5538847117794,-5,-11,-185,-6.3,-23,0,-0.304,-5,-11,-185,-6.3,-23,0,-0.303827751196172,14,600,70.5,2,-17
"160","Oklahoma","SMU",-33,-38.5538847117794,5,11,185,6.3,23,0,0.304,5,11,185,6.3,23,0,0.303827751196172,-14,-950,70.5,2,17
"161","Iowa","Iowa State",-42,4.8571428571428,0,-46,34,-0.5,-31,0,-0.233,0,-46,34,-0.5,-31,0,-0.232323232323233,-3.5,-185,36,2,7
"162","Iowa State","Iowa",42,-4.8571428571428,0,46,-34,0.5,31,0,0.233,0,46,-34,0.5,31,0,0.232323232323233,3.5,160,36,2,-7
"163","Oregon","Texas Tech",-41,-11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5,-245,67,2,8
"164","Texas Tech","Oregon",41,11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,205,67,2,-8
"165","Illinois","Kansas",19,4.8571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,155,55.5,2,-11
"166","Kansas","Illinois",-19,-4.8571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-180,55.5,2,11
"167","Middle Tennessee","Missouri",52,64.6047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,800,51,2,-4
"168","Missouri","Middle Tennessee",-52,-64.6047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.5,-1600,51,2,4
"169","Cincinnati","Pittsburgh",-5,1.8619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,250,48.5,2,6
"170","Pittsburgh","Cincinnati",5,-1.8619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-300,48.5,2,-6
"171","UCF","Boise State",-42,-42.1666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-160,58.5,2,2
"172","Boise State","UCF",42,42.1666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135,58.5,2,-2
"173","Sam Houston State","Air Force",-45,16.6047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,475,37,2,-10
"174","Air Force","Sam Houston State",45,-16.6047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-700,37,2,10
